supplier_id,supplier_reliability,previous_delays,average_lead_time,demand,inventory_level,weather_risk,transportation_risk,distance,supplier_capacity,shipment_size,historical_disruptions,disrupted
SUP-039,57.0,3,18.6,1042,1180,3.7,3.7,367.0,1818,1435,4,1
SUP-020,78.5,2,15.4,6730,14276,7.1,5.3,977.0,29180,8304,3,0
SUP-035,69.9,7,15.4,2952,5540,5.4,3.1,251.0,9875,2360,3,0
SUP-036,55.0,8,15.4,2174,2586,4.1,4.2,496.0,9163,2680,5,1
SUP-010,68.9,12,16.4,6753,17810,,2.6,160.0,15423,7089,5,0
SUP-009,51.8,11,20.0,4377,6814,3.2,4.0,874.0,18691,3987,4,1
SUP-016,57.0,4,21.4,3281,7109,2.5,1.5,291.0,13819,2239,2,0
SUP-021,85.2,12,16.8,1321,3966,1.9,5.0,340.0,7010,1514,7,0
SUP-026,55.3,11,13.2,1623,4658,1.4,2.6,568.0,6281,1419,6,0
SUP-016,57.0,4,17.4,5879,15822,4.7,7.1,275.0,13938,3821,2,1
SUP-037,51.9,0,17.8,2070,1706,3.3,2.0,1321.0,9274,2194,1,0
SUP-039,57.0,3,9.8,5977,19675,4.1,4.9,243.0,21753,6305,4,1
SUP-031,84.5,4,13.6,1998,2140,3.3,0.9,,8004,1872,6,0
SUP-016,57.0,4,18.0,2314,3305,0.1,2.8,762.0,5805,2780,2,0
SUP-001,86.0,14,14.9,2367,5406,3.4,2.2,1387.0,7202,1496,3,0
SUP-014,88.6,5,14.3,6089,9433,1.2,6.0,614.0,29323,4124,4,0
SUP-035,69.9,7,16.3,3912,11922,3.4,6.5,510.0,9050,5059,3,1
SUP-040,80.5,1,9.8,7958,10499,1.8,6.1,1691.0,42107,10625,6,0
SUP-038,70.2,2,15.1,5178,13214,2.3,6.2,1640.0,7311,5691,4,0
SUP-035,69.9,7,14.6,4334,1111,4.2,1.0,1569.0,17564,3484,3,0
SUP-031,84.5,4,12.2,2406,8163,0.5,7.7,856.0,9238,3161,6,0
SUP-038,70.2,2,13.3,4481,14056,2.5,2.8,564.0,21056,5187,4,0
SUP-006,96.7,10,19.8,4052,9308,2.2,4.0,356.0,22761,3122,4,0
SUP-006,96.7,10,9.4,2287,3500,2.0,4.0,788.0,11449,1748,4,1
SUP-040,80.5,1,17.3,6390,18242,5.3,5.1,527.0,26523,4798,6,0
SUP-006,96.7,10,17.0,829,593,2.1,4.7,322.0,678,740,4,0
SUP-021,85.2,12,9.5,13146,38640,3.5,6.1,769.0,19948,13566,7,1
SUP-013,79.1,12,7.8,2424,4638,2.0,5.4,624.0,6251,1743,0,0
SUP-015,68.5,13,12.9,2662,8835,3.2,4.5,656.0,2833,3127,6,1
SUP-040,80.5,1,19.4,5816,15748,2.5,6.9,720.0,25688,3635,6,0
SUP-011,64.7,6,13.6,3773,6980,3.4,4.8,646.0,8245,4217,4,0
SUP-023,96.4,12,18.0,1823,5032,2.5,2.2,660.0,7072,2337,2,0
SUP-033,62.3,8,9.7,2585,6339,4.0,3.4,339.0,10707,2810,7,0
SUP-012,94.1,12,12.6,2600,8169,1.4,2.1,924.0,14900,2370,4,0
SUP-024,92.3,0,25.3,1183,834,1.9,4.2,869.0,5191,1090,3,0
SUP-019,88.9,9,12.5,6505,17602,1.4,2.3,319.0,18436,4724,2,0
SUP-038,70.2,2,12.8,6981,15847,2.3,5.2,171.0,12749,3684,4,0
SUP-022,63.8,2,20.9,3199,2769,2.5,0.6,232.0,7492,2760,1,0
SUP-005,50.0,9,27.6,1478,1389,1.7,4.7,491.0,8456,1281,6,1
SUP-031,84.5,4,12.0,1958,6128,2.8,2.4,152.0,9393,2538,6,0
SUP-001,86.0,14,21.3,8464,1704,4.6,5.4,524.0,9233,7007,3,1
SUP-008,86.7,4,10.4,3293,6477,0.8,4.8,2426.0,7987,1663,6,0
SUP-032,96.3,11,13.2,8018,3655,1.2,3.2,874.0,40430,6611,2,0
SUP-034,64.6,6,16.8,5855,4361,2.3,4.7,1483.0,23806,6515,2,0
SUP-002,68.3,6,17.8,6453,18396,3.4,4.5,552.0,9347,5756,5,0
SUP-039,57.0,3,13.5,4239,1282,2.1,2.2,50.0,11783,5146,4,0
SUP-006,96.7,10,15.4,5630,3919,0.2,0.9,1695.0,11367,6424,4,0
SUP-037,51.9,0,17.2,14127,45129,2.6,2.8,128.0,24374,12430,1,0
SUP-011,64.7,6,16.9,3172,2560,3.8,5.1,1171.0,14928,3462,4,1
SUP-033,62.3,8,26.1,1455,2743,2.8,4.5,763.0,1603,1660,7,1
SUP-001,86.0,14,8.4,1220,2887,6.2,3.8,356.0,3874,1366,3,0
SUP-032,96.3,11,20.0,692,1964,2.7,1.7,301.0,1436,696,2,0
SUP-033,62.3,8,22.8,1023,2303,5.2,4.2,775.0,2294,926,7,0
SUP-019,88.9,9,15.2,6084,16124,3.0,3.1,623.0,26403,3122,2,0
SUP-028,47.3,9,17.9,916,3205,2.3,5.8,130.0,3724,512,1,0
SUP-012,94.1,12,13.2,3948,11327,4.1,3.6,1071.0,17554,4227,4,1
SUP-004,82.0,12,10.0,4879,4838,1.9,4.9,346.0,11873,4276,3,0
SUP-012,94.1,12,18.1,2255,3312,2.3,5.9,561.0,7722,2878,4,1
SUP-010,68.9,12,23.3,8052,8715,2.0,2.4,233.0,10350,6881,5,0
SUP-010,68.9,12,22.8,2671,3733,2.3,4.6,362.0,12988,1846,5,0
SUP-012,94.1,12,15.5,4712,13236,3.0,2.9,551.0,17355,3956,4,1
SUP-006,96.7,10,16.1,2083,1434,1.0,2.2,615.0,7032,1046,4,0
SUP-025,86.3,11,11.3,4715,2565,2.1,2.1,449.0,13943,2883,7,0
SUP-016,57.0,4,8.4,2246,2095,1.5,4.5,2115.0,11294,1639,2,0
SUP-016,57.0,4,18.2,2501,4466,3.0,4.5,426.0,6968,3356,2,0
SUP-027,69.7,11,6.7,3800,10499,1.3,3.1,544.0,5963,5023,0,0
SUP-031,84.5,4,14.7,3755,7331,2.8,2.2,535.0,6076,3434,6,0
SUP-012,94.1,12,6.2,1571,1780,,5.4,347.0,3882,1383,4,0
SUP-012,94.1,12,22.9,6282,15325,3.1,6.8,551.0,25296,8127,4,1
SUP-033,62.3,8,20.8,1014,3223,1.0,4.2,372.0,2993,681,7,0
SUP-007,85.3,1,17.8,2978,6625,1.8,2.9,2244.0,6690,1755,0,0
SUP-018,48.4,10,21.3,887,1715,1.7,2.1,510.0,4454,592,0,0
SUP-008,86.7,4,14.0,1004,914,4.2,1.5,208.0,4693,620,6,0
SUP-036,55.0,8,19.1,3237,1771,1.5,4.9,190.0,5020,1920,5,1
SUP-021,85.2,12,4.2,677,1467,0.6,0.8,521.0,2345,824,7,0
SUP-034,64.6,6,21.0,2562,8704,2.6,2.2,1749.0,8026,1383,2,0
SUP-011,64.7,6,18.7,2711,1868,5.6,3.6,469.0,15283,2826,4,0
SUP-040,80.5,1,17.8,477,1208,2.1,6.9,2336.0,2751,454,6,0
SUP-023,96.4,12,18.0,3675,10679,4.6,4.9,251.0,13004,3241,2,0
SUP-019,88.9,9,13.3,1985,5767,4.2,2.7,676.0,11460,1983,2,1
SUP-038,70.2,2,11.3,2660,6228,1.5,2.5,852.0,12894,2324,4,0
SUP-017,74.4,3,13.1,8376,1984,3.8,2.4,202.0,29726,8669,4,0
SUP-032,96.3,11,11.6,522,1066,4.6,4.0,883.0,947,418,2,1
SUP-038,70.2,2,18.7,4765,9863,1.8,2.3,538.0,18306,5255,4,0
SUP-013,79.1,12,18.3,1569,1958,7.2,4.5,524.0,2358,2132,0,0
SUP-032,96.3,11,4.3,1452,1237,3.0,2.4,533.0,5671,1038,2,0
SUP-024,92.3,0,12.1,1296,1373,2.8,2.8,368.0,5244,858,3,0
SUP-005,50.0,9,19.7,5453,5923,3.3,2.3,880.0,11196,6792,6,1
SUP-007,85.3,1,13.4,2711,762,2.6,6.3,1268.0,9213,1728,0,0
SUP-003,90.5,2,9.9,16419,30007,4.7,4.7,1302.0,42099,15878,5,0
SUP-002,68.3,6,17.2,2250,7683,2.0,3.3,472.0,11681,2442,5,0
SUP-025,86.3,11,11.5,2080,5443,2.5,2.0,1024.0,11432,2447,7,0
SUP-027,69.7,11,21.6,358,313,1.8,0.4,401.0,1269,459,0,0
SUP-039,57.0,3,13.2,1525,548,4.6,4.7,493.0,8543,1417,4,1
SUP-024,92.3,0,13.7,1889,6570,5.3,2.5,5048.0,5781,1923,3,0
SUP-013,79.1,12,7.9,2106,3137,1.9,4.9,505.0,6665,1104,0,0
SUP-003,90.5,2,16.0,2383,6854,2.6,0.6,989.0,6713,1794,5,0
SUP-028,47.3,9,16.4,923,321,2.6,4.3,582.0,4695,811,1,1
SUP-025,86.3,11,14.2,2637,5343,0.9,5.4,330.0,11707,2856,7,0
SUP-038,70.2,2,18.1,2532,5055,3.4,2.3,248.0,4954,3184,4,0
SUP-015,68.5,13,13.9,1702,3799,2.0,4.8,355.0,7733,1802,6,0
SUP-020,78.5,2,16.0,2412,7667,2.0,3.4,767.0,2187,2514,3,0
SUP-012,94.1,12,8.9,3653,3612,4.9,2.5,1090.0,16463,3472,4,0
SUP-033,62.3,8,16.3,1810,4110,0.6,3.5,487.0,10138,1184,7,0
SUP-029,53.2,7,26.5,1749,2285,4.2,4.0,148.0,1510,1869,6,1
SUP-029,53.2,7,16.5,5674,12077,4.5,2.9,293.0,23821,3757,6,0
SUP-011,64.7,6,18.2,826,2714,2.0,5.2,132.0,2461,1117,4,0
SUP-013,79.1,12,15.1,4081,7669,5.8,3.6,1712.0,23939,3573,0,1
SUP-022,63.8,2,17.3,1980,6347,1.5,3.5,889.0,2645,1256,1,0
SUP-040,80.5,1,15.9,1911,776,2.7,3.5,806.0,9030,1839,6,0
SUP-014,88.6,5,9.1,12218,35852,3.0,2.2,966.0,25129,9879,4,0
SUP-012,94.1,12,11.2,4161,3950,1.6,3.0,294.0,10844,3559,4,0
SUP-014,88.6,5,13.0,2086,1291,1.9,2.7,1214.0,9617,2062,4,0
SUP-032,96.3,11,14.5,1142,1070,2.1,7.7,198.0,1913,1055,2,0
SUP-038,70.2,2,16.5,7127,10406,3.7,1.6,811.0,25927,8070,4,0
SUP-021,85.2,12,13.4,10176,9237,5.1,3.6,50.0,9684,6499,7,1
SUP-025,86.3,11,16.0,6297,7248,1.5,3.2,860.0,24121,8694,7,0
SUP-002,68.3,6,18.0,8275,22274,5.4,2.2,821.0,38787,7761,5,1
SUP-003,90.5,2,9.0,3457,2014,1.2,3.5,742.0,8250,2850,5,0
SUP-005,50.0,9,15.3,6440,9093,0.8,3.3,363.0,34224,8444,6,1
SUP-001,86.0,14,8.1,1252,2942,0.8,3.2,886.0,3568,1542,3,0
SUP-026,55.3,11,16.4,3739,7755,5.2,1.8,134.0,20416,2803,6,1
SUP-009,51.8,11,19.0,1367,476,5.0,2.3,1315.0,7583,1411,4,1
SUP-020,78.5,2,17.4,4382,14871,1.6,1.2,245.0,20410,3656,3,0
SUP-010,68.9,12,13.8,1960,1460,3.3,5.7,637.0,9825,1007,5,1
SUP-002,68.3,6,21.2,925,938,2.5,1.7,1760.0,1402,959,5,0
SUP-001,86.0,14,18.8,1684,2420,5.4,1.6,338.0,5726,2161,3,1
SUP-032,96.3,11,8.7,2086,3797,0.5,3.4,80.0,1851,1557,2,0
SUP-005,50.0,9,13.5,4358,2483,7.9,5.0,688.0,10021,4271,6,1
SUP-016,57.0,4,11.5,3520,5790,2.1,1.7,223.0,3187,4529,2,0
SUP-014,88.6,5,17.4,8110,24230,2.1,0.6,2900.0,21986,6395,4,0
SUP-013,79.1,12,15.6,1071,675,0.4,2.9,494.0,2616,1170,0,0
SUP-008,86.7,4,17.6,2578,3004,3.6,6.9,1874.0,12838,2050,6,1
SUP-031,84.5,4,18.5,729,1882,2.8,4.5,729.0,4062,1010,6,0
SUP-007,85.3,1,14.3,732,407,3.3,0.2,226.0,4278,871,0,0
SUP-022,63.8,2,21.0,7228,9378,4.6,1.0,387.0,22297,9395,1,0
SUP-001,86.0,14,14.0,6179,4040,1.1,4.1,1098.0,23067,3432,3,0
SUP-002,68.3,6,13.4,5780,15164,4.7,6.3,185.0,26590,3378,5,1
SUP-007,85.3,1,13.2,2340,3537,1.8,4.3,1561.0,10192,2029,0,0
SUP-040,80.5,1,17.8,477,1208,2.1,6.9,2336.0,2751,454,6,0
SUP-011,64.7,6,13.5,7919,12879,1.9,3.3,535.0,8607,4115,4,1
SUP-014,88.6,5,12.9,3045,2525,0.5,9.1,784.0,7962,2597,4,1
SUP-021,85.2,12,12.4,3693,1574,2.9,1.3,421.0,18133,4590,7,0
SUP-032,96.3,11,12.8,4062,11324,3.3,3.4,165.0,15913,2036,2,0
SUP-016,57.0,4,18.8,2141,6893,2.1,5.1,789.0,3865,2759,2,0
SUP-026,55.3,11,11.9,6796,19878,4.1,0.9,93.0,31597,7017,6,1
SUP-040,80.5,1,20.0,1741,5676,5.5,7.1,2474.0,8525,1235,6,0
SUP-009,51.8,11,21.4,7022,21269,3.6,2.8,1110.0,31139,5432,4,0
SUP-018,48.4,10,15.8,7327,10581,0.2,2.8,264.0,22521,4742,0,1
SUP-011,64.7,6,16.4,4081,3589,3.1,3.4,996.0,13302,2179,4,1
SUP-003,90.5,2,8.1,8173,7903,6.3,2.9,131.0,25171,7804,5,0
SUP-022,63.8,2,8.9,2666,7334,3.0,0.4,192.0,9685,3584,1,0
SUP-009,51.8,11,13.9,1446,980,4.1,3.3,693.0,3690,913,4,1
SUP-015,68.5,13,21.7,2226,3023,2.4,3.5,3507.0,9771,2099,6,1
SUP-015,68.5,13,14.5,1077,2977,0.6,2.7,851.0,1090,1363,6,0
SUP-027,69.7,11,15.6,2585,5770,2.0,5.1,582.0,8962,3115,0,0
SUP-023,96.4,12,9.2,410,309,2.1,5.1,546.0,2372,336,2,0
SUP-020,78.5,2,14.8,2436,8425,4.4,7.4,1790.0,14383,2475,3,1
SUP-003,90.5,2,18.4,2601,4616,3.5,3.5,1338.0,8766,2254,5,0
SUP-007,85.3,1,17.5,1658,853,1.6,1.7,1013.0,5911,2051,0,0
SUP-018,48.4,10,25.6,2255,7012,2.8,4.0,197.0,4263,1312,0,0
SUP-012,94.1,12,17.7,9011,17410,1.5,1.9,429.0,20671,7850,4,0
SUP-009,51.8,11,19.5,6833,9291,0.5,0.8,1334.0,33335,4473,4,1
SUP-032,96.3,11,18.1,9399,32165,0.8,4.4,500.0,9070,10871,2,0
SUP-029,53.2,7,16.9,2933,3478,4.1,1.3,444.0,10811,2348,6,1
SUP-038,70.2,2,25.5,1842,6286,2.8,6.4,673.0,5379,1313,4,1
SUP-014,88.6,5,15.7,2598,5585,4.2,2.2,1200.0,3236,2313,4,0
SUP-012,94.1,12,25.5,1869,4175,2.3,2.4,627.0,9216,1703,4,0
SUP-036,55.0,8,20.7,2895,5928,3.6,3.2,648.0,3944,2008,5,1
SUP-019,88.9,9,17.5,4484,11486,1.3,4.3,327.0,6028,2904,2,0
SUP-005,50.0,9,19.7,1730,1830,3.1,5.0,220.0,8629,1523,6,0
SUP-002,68.3,6,22.0,6241,21805,0.3,0.6,383.0,36943,5999,5,0
SUP-038,70.2,2,19.2,1560,1636,3.2,2.8,563.0,5325,993,4,0
SUP-040,80.5,1,18.2,3638,1012,2.2,2.2,928.0,18389,2493,6,0
SUP-010,68.9,12,16.5,2358,4097,4.6,3.5,477.0,9129,1392,5,1
SUP-037,51.9,0,15.5,6407,12474,0.5,3.7,380.0,26928,5967,1,0
SUP-030,81.2,10,11.0,4294,7321,5.2,7.6,1072.0,21307,4432,0,0
SUP-012,94.1,12,11.7,9915,6425,4.7,3.0,681.0,39290,11889,4,0
SUP-011,64.7,6,22.9,1937,5857,0.6,3.9,434.0,9121,2512,4,0
SUP-005,50.0,9,15.1,14679,32059,1.7,1.7,158.0,17831,10268,6,0
SUP-011,64.7,6,13.7,3631,4985,2.9,5.1,308.0,3746,3723,4,0
SUP-018,48.4,10,14.8,3789,7090,1.2,3.5,300.0,11949,3328,0,0
SUP-038,70.2,2,12.0,5461,7126,5.0,4.7,1237.0,11507,5835,4,0
SUP-040,80.5,1,8.1,9354,26435,5.9,1.6,566.0,28944,6454,6,0
SUP-011,64.7,6,22.6,1886,5872,3.6,4.7,574.0,3584,1054,4,0
SUP-033,62.3,8,6.2,884,570,3.2,1.3,416.0,1815,694,7,1
SUP-003,90.5,2,11.5,1071,1008,0.8,1.5,1637.0,3299,648,5,0
SUP-010,68.9,12,13.2,3081,4813,1.9,3.3,258.0,6971,3132,5,0
SUP-003,90.5,2,4.9,1193,1536,2.6,4.5,448.0,2645,1650,5,0
SUP-012,94.1,12,9.3,7577,12225,1.0,2.2,361.0,43144,9181,4,0
